agriculture,commerce,construction,industry,transport
100,100,100,,100
101.6,133,138.1,133.6,120
103.3,136.4,133.3,159.1,136
111.5,,152.4,169.1,140
116.5,146.6,261.9,219.1,164
120.1,146.6,242.9,244.5,176
,155.9,367,383.5,270.8
100.6,170.3,,501.5,356.5
83.6,164.1,394,541.4,383.6
84.7,130.1,129.5,315.9,221.1
88.7,117.7,161.9,267.4,171.5
98.9,,205.1,300.7,176
111.9,123.9,259,374.9,
122.9,128,,477.7,261.7
131.9,155.9,313,598.5,297.8
,164.1,296.8,504.3,239.2
131.6,151.8,,458.6,225.6
132.2,179.6,323.8,622.3,284.3
139.8,199.2,421,863,343
,201.2,468.3,979,
140.5,208,452.5,1043.5,389.3
153.1,224.5,457.8,1134.3,412.5
159.2,220.6,484.1,,394
162.3,220.6,542,1297.3,444.9
159.1,214.8,568.3,1249.2,426.4
,242,578.8,1434,491.3
161.2,296.4,573.5,1679.1,546.9
171.5,316.8,584.1,1814.7,560.8
168.4,318.8,757.7,,584
180.4,379.4,770,2046.8,607.2
